
#     NAME                     P0                                     P1
                               (s)
-------------------------------------------------------------------------------------------------------
274   J0557+1550    skl+15     0.0025563670767829       6  skl+15     7.352E-21         20  skl+15 
275   J0557-2948    kmk+18     0.0436426389000          3  kmk+18     0.000073E-15       5  kmk+18 

276   B0559-57      mlt+78     2.261364513              3  nmc81      2.78E-15           9  nmc81 
277   B0559-05      mlt+78     0.3959691695432          5  hlk+04     1.302098E-15       5  hlk+04 
278   J0605+3757    san16      0.00272795420005466      8  saa+23     4.717E-21          3  saa+23 
279   J0608+00      dsm+13     1.0762                   0  dsm+13     *                  0  *
280   J0608+1635    ttk+17     0.945844752002           3  psf+22     13.51042E-15      18  psf+22 

281   J0609+2130    lxf+05     0.05569801392951         2  lxf+05     0.000235E-15       2  lxf+05 
282   J0610-2100    bjd+06     0.00386132476693726      9  vbc+22     1.232661E-20      11  vbc+22 
283   J0611+04      dsm+16     1.67443                  0  dsm+16     *                  0  *
284   J0611+1436    lsb+17     0.27032946262            3  lsb+17     3.997E-15          3  lsb+17 
285   J0611+30      cnst96     1.412090                 3  cnst96     *                  0  *

286   B0609+37      stwd85     0.29798232657184        18  hlk+04     5.94681E-17       18  hlk+04 
287   J0612+37216   slr+14     0.443871367665          20  lsk+18     1.50E-16          14  lsk+18 
288   J0613-0200    lnl+95     0.003061844088621657    10  rsc+21     9.59043E-21       18  rsc+21 
289   J0613+3731    cvh+14     0.61919818110            7  cvh+14     3.2448E-15        20  cvh+14 
290   B0611+22      dls72      0.33495996611           16  hlk+04     5.94494E-14       12  hlk+04 

291   J0614-3329    rrc+11     0.003148669579439        9  rrc+11     1.75E-20           7  rrc+11 
292   J0614+83      slr+14     1.039203                51  slr+14     *                  0  *
293   J0621+0336    bkl+13     0.2699540683678          9  bkl+13     0.00724E-15        6  bkl+13 
294   J0621+1002    cnst96     0.0288538611940574      16  dcl+16     4.730E-20          5  dcl+16 
295   J0621+2514    san16      0.0027217879391872       4  san16      24.83E-21          3  san16 

296   J0621-55      kbj+18     *                        0  *          *                  0  *
297   J0622+3749    pga+12     0.333208231801           6  pga+12     2.54237E-14        5  pga+12 
298   J0623+0340    bkl+13     0.613759600022           7  bkl+13     0.08837E-15        3  bkl+13 
299   B0621-04      mlt+78     1.0390764758510         15  hlk+04     8.30442E-16       12  hlk+04 
300   J0625+10      cnst96     0.498397                 3  cnst96     *                  0  *

301   J0627+0649    bkl+13     0.346522567131          13  bkl+13     1.698E-15          3  bkl+13 
302   J0627+0706    cha03      0.475884937713           3  lbs+20     2.980860E-14      12  lbs+20 
303   J0627+16      dcm+09     2.180                    0  dcm+09     *                  0  *
304   J0628+0909    cfl+06     1.241421391299           3  nab+13     0.5479E-15         2  nab+13 
305   B0626+24      dth78      0.476622836038           4  hlk+04     1.99573E-15        3  hlk+04 

306   J0630-0046    bkl+13     0.680574832268           7  bkl+13     3.7481E-15        19  bkl+13 
307   J0630+19      dsm+16     1.24855                  0  dsm+16     *                  0  *
308   B0628-28      vl69       1.24441859615            8  hlk+04     7.1229E-15         3  hlk+04 
309   J0631+0646    cwp+17     0.1109789432160          8  cwp+17     3.61723E-15        3  cwp+17 
310   J0631+1036    zcwl96     0.28781555572            5  saa+23     1.027171E-13       5  saa+23 

311   J0633+0632    aaa+09c    0.29739519058            7  rkp+11     7.9592E-14         3  rkp+11 
312   J0633+1746    hh92       0.2370994416923         20  jh05       1.097087E-14       5  jh05 
313   J0633-2015    bjd+06     3.2532108384             5  bjd+06     3.82E-15           8  bjd+06 
314   J0635+0533    cmn+00     0.033856495             12  cmn+00     *                  0  *
315   J0636-23      mss+20     0.476                    0  mss+20     *                  0  *

316   J0636-3044    mbc+19     0.00394576               0  mbc+19     *                  0  *
317   J0636-4549    bjd+06     1.98459736713            4  bjd+06     3.1722E-15        20  bjd+06 
318   J0636+5128    slr+14     0.00286895289071925      4  saa+23     3.44901E-21       13  saa+23 
319   J0637+0332g   zhx+23     0                        0  zhx+23     *                  0  *
320   J0641+07      ttm+18     *                        0  *          *                  0  *

321   J0645+5158    slr+14     0.008853496686414667    11  aab+21a    4.9211E-21         4  aab+21a 
322   J0645+80      slr+14     0.657873                24  slr+14     *                  0  *
323   J0646+0905    bkl+13     0.90391335651            8  lbs+20     7.3609E-16        17  lbs+20 
324   J0646-54      ckr+15     0.00251                  0  aab+22     *                  0  *
